receipt_id,token_in_address,amount_in,token_out_address,transaction_signer,day
ApN2AyVMxWXBCGBQ9DoD2W7Tc1cPiDdXtXfRLPh8yuTE,wrap.near,20879777340448771500000000,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,28-08-2022
AsacrqSNuuCQj2aPXkqZrsGJtPCDL4p2pfDHnED12MHp,wrap.near,1999999999999999966445568,token.paras.near,paypass.near,28-08-2022
5xAFwNRahwaGQGhqiXrYb1jnpp8JgcxnAK8GPTboK7Ke,wrap.near,13500000000000000041943040,token.paras.near,paypass.near,28-08-2022
ooE9g5cyLHWWVNQQc1UEFmYJikXvmpzyxpBJyqL5jeu,wrap.near,5899999999999999739953152,token.paras.near,paypass.near,28-08-2022
3rqZuQGZ4BJ8NvM5KETHs5NrmAqcDE5dvnrjudnxM4kt,wrap.near,3899999999999999773507584,token.paras.near,paypass.near,28-08-2022
J9cfN2yC2exVwC3Z4CVS6J4tHHb2HzWADgeTgmeNqUth,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,22516480,f5cfbc74057c610c8ef151a439252680ac68c6dc.factory.bridge.near,a1f5411e1497eacb7a394499bc857f6d27da86b53540b61ea0536b250ea0c4d7,28-08-2022
EysJ8BgrA78ZmiAdkSNbo5bCC98J2CMoDThSxuXShjLt,abr.a11bd.near,114856295297600000000000000,usn,aaceen.near,28-08-2022
EintfKgpBZhLqpbH5eWoZoft1BGf4h3ALQU9RzgEbKdK,wrap.near,22018720670614654500000000,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,28-08-2022
88SNfg3hsYiDLbJGhHfYPnR2eyx1Hq9L8RDP2ixGAwPN,6b175474e89094c44da98b954eedeac495271d0f.factory.bridge.near,228861929659030000000,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,aaceen.near,28-08-2022
FTUNHvkUotHUavXtPtiQhABbzKP35YYXkgERRjytNSJr,usn,3194343151832707612,wrap.near,pauvremck.near,28-08-2022
CVP1FiEmG4bLTU3agRoyUKcajYbB49U1wyvztuijA8LF,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,1494451,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,28-08-2022
LhwjctNod81xBGdaZLug4BW9gbAEjkKfpxEj1Bbe3Az,wrap.near,12312356338699497000000000,aurora,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,28-08-2022
GHc9Lsjjj1Q45PzZViXck17ohzrGi5vt7CQodvfJBCFA,token.v2.ref-finance.near,45424482674000000000,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,aaceen.near,28-08-2022
HtZkdWPGMQU4Mzq4Hk28GofnRnc2Ki7VWcKpU9JC46bd,aurora,260366724089316899,wrap.near,so_crypto.near,28-08-2022
9yJoyQny6BPi7Xohg3t6RsQ9MzynaDQqD1PqAEVQz85i,sol.token.a11bd.near,1967390580000000000000000,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,aaceen.near,28-08-2022
CaW7xYSCGgGuzUkKCaHzGiVcButgTUMKaBSmbaSmkNWh,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,422420482,aurora,aaceen.near,28-08-2022
HuXbkPDaCW5GvK1XzShss8XG5RwfJGDV9ECbsnRNL5S9,wrap.near,233512958686168847831665383,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,28-08-2022
4trXWQpWGem3W1wtyeQfky62Cdb6W5VpYeaTshG1pULY,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,305854513,aurora,aaceen.near,28-08-2022
FX4eEH8t9GpchQEEYc3zAkAQropLcvR7Ee36r19y7qok,aurora,543602269998809083,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,28-08-2022
5XHytqhuiLX5bHWmfA3c5PqGrYcD66f5H5EhWmEzQHfA,wrap.near,370608932191067700000000000,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,inna.near,28-08-2022
9ztyYEKYXiEd6YnvUcRPqqVPrNkz9VF2WPDXw83UBKMr,token.v2.ref-finance.near,8254000000000000000,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,machidechia.near,28-08-2022
ATgmhVPkdLC64kNk1LvNBmBgoGbLues7kSqbr8Y8fNwT,wrap.near,370618841752427400000000000,usn,inna.near,28-08-2022
6tnWcMMoCn2ttxojJxcxq4thbYhZ8wnaAM5dhnhKJuqS,token.v2.ref-finance.near,1897983055981688876,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,28f5a4a69efed1aa682232159b6b66f70451240af7f30b0286530a97ed4ee12f,28-08-2022
2Z9fNdheePHC372W9JDhKTYe3FvS97BTSrXfq9XJL4hj,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,50500000,wrap.near,sallyle.near,28-08-2022
8NYRuf6ZnyrhbBvK9ybMk4Dvocf1oNKvbSNtnxmCnnXA,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,779922007,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,28-08-2022
GmwwpmE6C1i3sJmwNZDcj9QtPF2ZhvBc9jAJm7xKhPKQ,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,770000000,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,28-08-2022
