receipt_id,token_in_name,token_out_name,token_in_price,token_out_price,swap_volume_usd,transaction_signer,exchange_name,exchange_type,exchange_timestamp
FCmyGSbopmyrsYRAEhkNPbd9cJ8ZPnexiZ1jncs9vLon,wrapped-near,usd-coin-avalanche-bridged-usdc-e,3.7743669623571368,1.0034784753407773,67.0635,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,ref.finance,POOL,1661735906872697574
DJaDsXHhbnjsMUWJEf6V1DtuDCPGnborYbb5vbwr82ic,wrapped-near,oraclechain,3.7743669623571368,0.008150099883352463,2.66848,fa45d3f4927711d0e39e85104800807a2d24bc01a26ee56815a829ba0e6b6bfe,ref.finance,POOL,1661735861112741726
NT46i6nArqzSzCu7WV8Zd4CKKSGS7gDjSWNPqxqSzfp,wrapped-near,oraclechain,3.7743669623571368,0.008150099883352463,147.65701,jreive.near,ref.finance,POOL,1661735836071086979
7zyB4HrVY9VAwpdCbRH3k46zfWpLVWT8ZEWED8MXSddf,wrapped-near,usd-coin-avalanche-bridged-usdc-e,3.7743669623571368,1.0034784753407773,42.23355,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,ref.finance,POOL,1661734724898147725
5DTgRrnw25o3Gh4rPjM97hM8qGiZn4hDjpHmifqVS4fX,ref-finance,wrapped-near,0.3490445864326606,3.926304977252688,6.04679,lushmeadow.near,ref.finance,POOL,1661734672565812075
CZYSkiUsUYBXTDTLKTT5U9G9aNGW5t2zwJURkM2chwcG,burrow,wrapped-near,0.008934029446547597,3.926304977252688,79.45072,e4090f0e36dbea21cd5a8aa219f9c0b7b07a19563cc48f3eda7110265a6889ca,ref.finance,POOL,1661734582868807616
GkttwjxXewUB9zAojasCr9v2UjkJivwBA4utYD68tULo,usd-coin-avalanche-bridged-usdc-e,ethereum-wormhole,1.0032859088066581,1500.5373284480372,300.98577,3dc8935263f6d905923acc9d3f609e2fdcad9bdc5888e00a082bb5e8b1c39a8d,ref.finance,POOL,1661734571761139195
G5t9TdLkYqgF8kPKqxj8P1FiAhqcBauqZ6XpzEWeTata,ref-finance,usd-coin-avalanche-bridged-usdc-e,0.3490445864326606,1.0034784753407773,1435.01524,137d7f6b93f967ebc896c1ede529a11fcb982163a1521d6c00bff5b0aef7ae3d,ref.finance,POOL,1661734422564593431
9118GgsZ4pgUGrgYfEpHGRGJUVfwm31ADrk27yBRVj5Z,wrapped-near,usn,3.7743669623571368,0.9992655017845189,377.4367,usn-unofficial.poolowner.near,ref.finance,POOL,1661734400180687582
C43TDSWxP9SwEAYZmJ4TjfJSmtV9fATte1q3iUcADg5b,wrapped-near,burrow,3.7743669623571368,0.00941233006024526,7.1713,c671fc389e50ff21d19af1c1b196cc0b96f700dc1e1c497683e3b94b25372d92,ref.finance,POOL,1661734377716478130
DvgR6keZtXNYkSnMTcAtKaHzbn1wjtWvWJMfWB1V56x8,wrapped-near,ethereum-wormhole,3.7743669623571368,1500.5373284480372,38.67954,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,ref.finance,POOL,1661734348715413303
6nqan26kRwxzi5WvLRdi5PPuUUQF81tELg5qA9zRFBPm,ref-finance,wrapped-near,0.3490445864326606,3.926304977252688,1.50759,9594dc8e1ff211e3797ecb94061c8dcbf3bfeb7cd5d340780b640737eb3c9c34,ref.finance,POOL,1661734308701866423
Eu6uVXfEHZcn8N5SyAd3z7Fg11ciBZuSgLFZBAxFhZcx,wrapped-near,ethereum-wormhole,3.7743669623571368,1500.5373284480372,47.66076,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,ref.finance,POOL,1661734108727452791
7fzuuQC5ZfTNwYhResSvpKPpemzVxZWvC2TdmdTKBYYN,tether-avalanche-bridged-usdt-e,wrapped-near,1.0009593203125227,3.926304977252688,30.02878,suong79.near,ref.finance,POOL,1661734054772951213
EtEBM9ra4vY1EzepFrdbhhbungEDYoP1uQik7b3VYEPw,ref-finance,fusotao,0.3490445864326606,0.3088673333144229,6.98089,thanghuan.near,ref.finance,POOL,1661734044932184515
